Company Name,Sector,Calendar Year,total_health,rel_quality,z_quality,price_metric,rel_price,z_price,price_hat,price_resid,price_resid_std,QARP_spread,QARP_resid,QARP_resid,rank_qarf
Dell Technologies Inc.,Technology,2023,0.582,0.5290909090909091,-0.721147159598472,0.077,0.077,-0.8190611334810841,1.0501234650662106,-2.6128576001625627,-3.858188869595096,0.09791397388261214,3.137041709996624,3.137041709996624,16
Entergy Corporation,Utilities,2023,1.484,1.4854854854854855,1.7846637239751664,0.513,0.513,-1.6685893902622626,1.0696933246899212,-0.7348514287646615,-1.0850938080550103,3.453253114237429,2.8697575320301767,2.8697575320301767,17
"Automatic Data Processing, Inc.",Industrials,2023,2.779,2.6366223908918403,2.8979317803238183,1.162,1.162,0.23640506079162546,1.0937322853176872,0.06054669615216511,0.08940425577364257,2.6615267195321928,2.8085275245501755,2.8085275245501755,18
"Altria Group, Inc.",Consumer Defensive,2023,1.918,1.8585271317829457,1.512537945150215,0.448,0.448,-0.530775762543603,1.0774250434046366,-0.877536021857421,-1.295784244800947,2.043313707693818,2.808322189951162,2.808322189951162,19
Public Service Enterprise Group Incorporated,Utilities,2023,1.602,1.6036036036036037,2.218870568158815,0.734,0.734,-0.9113855807181969,1.0721354373427672,-0.3788986458407246,-0.5594880249104988,3.1302561488770118,2.7783585930693135,2.7783585930693135,20
Illinois Tool Works Inc.,Industrials,2023,2.628,2.493358633776091,2.6442577520172117,1.009,1.009,0.013133614488423493,1.09071134935545,-0.077870356097181,-0.11498465938092384,2.631124137528788,2.7592424113981355,2.7592424113981355,21
"NetApp, Inc.",Technology,2023,2.258,2.0527272727272727,1.6121397892182054,0.517,0.517,-0.42860945554860624,1.081472159029,-0.7380356276305372,-1.0897956489138978,2.0407492447668116,2.7019354381321032,2.7019354381321032,22
Aflac Incorporated,Financial Services,2023,2.999,2.4521668029435815,2.0669433055120914,0.714,0.714,-0.3428395968350645,1.0898443019080828,-0.4229071603945115,-0.624471727431551,2.409782902347156,2.6914150329436426,2.6914150329436426,23
"Steel Dynamics, Inc.",Basic Materials,2023,1.727,1.6573896353166986,1.091607897701524,0.364,0.364,-0.7236003636080202,1.0732493195628956,-1.0812922054708922,-1.596654005051088,1.8152082613095442,2.688261902752612,2.688261902752612,24
GoDaddy Inc.,Technology,2023,2.719,2.4718181818181817,2.2539329177411696,0.847,0.847,-0.13577069709924797,1.0902578580597981,-0.25246881962090584,-0.37279964653281816,2.3897036148404176,2.6267325642739876,2.6267325642739876,25
Colgate-Palmolive Company,Consumer Defensive,2023,2.77,2.684108527131783,2.96703267344365,1.558,1.558,0.5365450643103813,1.0947354484624423,0.35289021294765033,0.521083541521344,2.4304876091332686,2.4459491319223057,2.4459491319223057,26
"Apollo Global Management, Inc.",Financial Services,2023,3.055,2.4979558462796403,2.132117193523734,0.91,0.91,-0.10788658641662864,1.0908081589266627,-0.1812295311966482,-0.26760653166148146,2.2400037799403627,2.3997237251852153,2.3997237251852153,27
"NVR, Inc.",Consumer Cyclical,2023,1.857,1.6105810928013877,1.6711448580241004,0.699,0.699,-0.4751538830640861,1.0722798724232916,-0.42789164034451127,-0.6318318931989516,2.1462987410881866,2.302976751223052,2.302976751223052,28
DaVita Inc.,Healthcare,2023,2.039,1.898510242085661,1.4356626264915013,0.6,0.6,-0.09695583543285503,1.0782570483044076,-0.586171517090263,-0.865550584452294,1.5326184619243564,2.3012132109437955,2.3012132109437955,29
"Yum! Brands, Inc.",Consumer Cyclical,2023,2.128,1.8456201214223764,2.314440676950991,1.101,1.101,0.15943701724077303,1.0771565996970736,0.021894066517920308,0.03232914175818816,2.1550036597102182,2.282111535192803,2.282111535192803,30
Cencora,Healthcare,2023,2.385,2.2206703910614523,1.95041834542006,0.868,0.868,-0.03199542569284216,1.0849843362455076,-0.22312911456991527,-0.329476151422372,1.9824137711129022,2.279894496842432,2.279894496842432,31
eBay Inc.,Consumer Cyclical,2023,1.602,1.3894189071986123,1.0658296040523025,0.472,0.472,-0.8334925257735464,1.067711233890454,-0.8162936171228704,-1.205352694195441,1.899322129825849,2.2711822982477434,2.2711822982477434,32
"Lamb Weston Holdings, Inc.",Consumer Defensive,2023,1.993,1.931201550387597,1.6405744529225248,0.704,0.704,-0.28461888716106254,1.078937796152532,-0.42695395790403257,-0.6304472957548182,1.9251933400835872,2.271021748677343,2.271021748677343,33
Mastercard Incorporated,Financial Services,2023,4.199,3.4333605887162713,3.463526620047288,2.497,2.497,1.7945135540632569,1.1106860325504841,0.8101121395432158,1.1962250218745343,1.6690130659840312,2.267301598172754,2.267301598172754,34
"Tapestry, Inc.",Consumer Cyclical,2023,1.535,1.3313096270598437,0.9067859883028493,0.426,0.426,-0.9061074049129084,1.06651407903035,-0.9177113927085336,-1.3551078637536116,1.8128933932157576,2.2618938520564607,2.2618938520564607,35
Amgen Inc.,Healthcare,2023,2.3,2.141527001862197,1.8239610156254717,0.81,0.81,-0.046054021830606126,1.0833277998695399,-0.29075863116341166,-0.4293390173362629,1.8700150374560778,2.2533000329617345,2.2533000329617345,36
Waters Corporation,Healthcare,2023,2.502,2.329608938547486,2.1244831405490814,0.999,0.999,-0.0002423895885821378,1.0872686536069431,-0.08466922936810255,-0.1250239884197605,2.1247255301376637,2.2495071289688418,2.2495071289688418,37
Discover Financial Services,Financial Services,2023,2.581,2.1103843008994274,1.5804667842823308,0.693,0.693,-0.3680131336656112,1.082676651100555,-0.4461616354566685,-0.6588096710100716,1.948479917947942,2.2392764552924023,2.2392764552924023,38
"Delta Air Lines, Inc.",Industrials,2023,1.094,1.0379506641366225,0.06719841809446558,0.249,0.249,-1.0959271645340174,1.060490823220667,-1.4490342242453214,-2.1396679693902314,1.163125582628483,2.206866387484697,2.206866387484697,39
"Gilead Sciences, Inc.",Healthcare,2023,1.867,1.7383612662942272,1.1797725003189228,0.538,0.538,-0.11198398992494756,1.074928384993067,-0.69215075956976,-1.022041291682981,1.2917564902438703,2.2018137920019036,2.2018137920019036,40
Deere & Company,Industrials,2023,1.603,1.5208728652751422,0.9222982883465369,0.451,0.451,-0.8011504837938421,1.0704243807251275,-0.8643431268214623,-1.276303397171782,1.723448772140379,2.198601685518319,2.198601685518319,41
CDW Corporation,Technology,2023,1.249,1.1354545454545455,0.2074342215833443,0.281,0.281,-0.6380335373487535,1.0624889924065695,-1.3300148713232254,-1.9639220187950395,0.8454677589320978,2.1713562403783837,2.1713562403783837,42
Apple Inc.,Technology,2023,2.963,2.6936363636363634,2.593623857783693,1.517,1.517,0.4587807215706613,1.0949368385234088,0.326038020475367,0.48143314874282317,2.1348431362130316,2.1121907090408696,2.1121907090408696,43
"IDEXX Laboratories, Inc.",Healthcare,2023,2.982,2.7765363128491622,2.8385951205655804,1.805,1.805,0.19512361880862075,1.0966906605873272,0.49826343696000464,0.7357440552771354,2.6434715017569594,2.102851065288445,2.102851065288445,44
KLA Corporation,Technology,2023,2.908,2.6436363636363636,2.5170541786757474,1.458,1.458,0.40642470112062457,1.0938804003449947,0.2873342588307303,0.42428253235274194,2.110629477555123,2.0927716463230057,2.0927716463230057,45
Zoetis Inc.,Healthcare,2023,2.588,2.4096834264432028,2.252428203635371,1.214,1.214,0.051871371956577435,1.0889507906950173,0.10870603731535505,0.16051713771228784,2.2005568316787936,2.091911065923083,2.091911065923083,46
"Airbnb, Inc.",Consumer Cyclical,2023,1.93,1.673894189071986,1.8444311856317126,0.908,0.908,-0.14522975827872395,1.0735913527237635,-0.16752033311625317,-0.24736330239343265,1.9896609439104365,2.0917944880251453,2.0917944880251453,47
Otis Worldwide Corporation,Industrials,2023,2.312,2.193548387096774,2.1133902490709353,1.114,1.114,0.1663591168533663,1.0844163652502528,0.026915211451094323,0.03974344764787403,1.947031132217569,2.0736468014230613,2.0736468014230613,48
"W.W. Grainger, Inc.",Industrials,2023,2.236,2.121442125237192,1.9857132546914515,1.021,1.021,0.03064510047298837,1.0829078093664963,-0.05886729997427419,-0.086924431522686,1.9550681542184631,2.0726376862141374,2.0726376862141374,49
"Raymond James Financial, Inc.",Financial Services,2023,2.788,2.2796402289452162,1.821377406039652,0.924,0.924,-0.0911042285295975,1.0862202701760184,-0.16174723533531205,-0.2388386504567464,1.9124816345692495,2.0602160564963983,2.0602160564963983,50
"Mid-America Apartment Communities, Inc.",Real Estate,2023,2.041,2.0158024691358025,1.6406502883115817,0.833,0.833,-0.11681391377445077,1.0807014803215211,-0.26033198592159373,-0.3844105283119101,1.7574642020860325,2.025060816623492,2.025060816623492,51
Hewlett Packard Enterprise Company,Technology,2023,0.449,0.40818181818181815,-0.9063065654413227,0.146,0.146,-0.7578312112598545,1.0476750381430833,-1.9707221169807496,-2.910000964586419,-0.14847535418146818,2.003694399145096,2.003694399145096,52
"United Airlines Holdings, Inc.",Industrials,2023,0.904,0.857685009487666,-0.2519940678542451,0.23,0.23,-1.1236536840095785,1.056806489045554,-1.524927584543845,-2.251733363984149,0.8716596161553334,1.9997392961299036,1.9997392961299036,53
"NextEra Energy, Inc.",Utilities,2023,1.501,1.5025025025025025,1.8472189472897595,0.99,0.99,-0.03426261581647359,1.070044811209112,-0.07775086308507295,-0.1148082140173185,1.8814815631062332,1.962027161307078,1.962027161307078,54
"D.R. Horton, Inc.",Consumer Cyclical,2023,1.508,1.3078924544666088,0.8426937849411301,0.508,0.508,-0.77666348992535,1.0660320230281854,-0.7412171970602568,-1.094493607103745,1.6193572748664802,1.937187392044875,1.937187392044875,55
Valero Energy Corporation,Energy,2023,1.5,1.4749262536873158,0.698499444569122,0.463,0.463,-0.7777516776051335,1.0694752817870845,-0.8371963622356066,-1.236218034324549,1.4762511221742556,1.934717478893671,1.934717478893671,56
Crown Castle Inc.,Real Estate,2023,2.02,1.9950617283950618,1.6071513519435279,0.887,0.887,-0.0790417500389996,1.080268829359597,-0.19712022290792092,-0.2910709906074206,1.6861931019825276,1.8982223425509486,1.8982223425509486,57
Caterpillar Inc.,Industrials,2023,1.717,1.6290322580645162,1.1138137799157635,0.636,0.636,-0.5311817415318006,1.072661908098032,-0.5227000393298117,-0.7718275476450489,1.644995521447564,1.8856413275608124,1.8856413275608124,58
Sysco Corporation,Consumer Defensive,2023,2.058,1.9941860465116277,1.7515394263251922,1.003,1.003,0.0028846508833890424,1.0802505664844138,-0.07419751125118575,-0.10956127576304625,1.7486547754418031,1.8611007020882384,1.8611007020882384,59
Celanese Corporation,Basic Materials,2023,1.126,1.0806142034548942,0.13386140643347122,0.336,0.336,-0.7554569833895052,1.0613646739990588,-1.150199627418698,-1.698403847206656,0.8893183898229764,1.8322652536401272,1.8322652536401272,60
"Verisk Analytics, Inc.",Industrials,2023,2.79,2.6470588235294117,2.9164113452997964,2.45,2.45,2.115971223134921,1.0939526801826682,0.8062905754386979,1.190582036932845,0.8004401221648756,1.7258293083669514,1.7258293083669514,61
American Tower Corporation,Real Estate,2023,2.564,2.5323456790123458,2.474933322620728,1.876,1.876,0.6127484339306517,1.09153262363282,0.5415590652158515,0.7996750980666247,1.8621848886900763,1.6752582245541032,1.6752582245541032,62
Gen Digital Inc.,Technology,2023,1.824,1.6581818181818182,1.0079354122573236,0.693,0.693,-0.2724287843756152,1.0732657339246099,-0.4374313678814855,-0.6459184131072061,1.2803641966329389,1.6538538253645299,1.6538538253645299,63
McKesson Corporation,Healthcare,2023,1.596,1.4860335195530727,0.7765967782679418,0.591,0.591,-0.09913734173009428,1.0697046425351815,-0.5933218369313279,-0.8761088653257427,0.8757341199980361,1.6527056435936847,1.6527056435936847,64
Snap-on Incorporated,Industrials,2023,1.47,1.3946869070208727,0.6988635481824395,0.561,0.561,-0.640628528935331,1.0678198304986442,-0.6436534017313522,-0.9504292887153206,1.3394920771177703,1.64929283689776,1.64929283689776,65
"Builders FirstSource, Inc.",Industrials,2023,1.434,1.3605313092979125,0.6383849718974206,0.545,0.545,-0.6639771769147508,1.06711592995194,-0.6719291011131856,-0.9921816554069532,1.3023621488121715,1.6305666273043737,1.6305666273043737,66
Veralto Corporation,Industrials,2023,1.968,1.8671726755218214,1.535483853458533,1.016,1.016,0.023348647979419834,1.0776048933190265,-0.05886753788934953,-0.08692478283203234,1.5121352054791133,1.6224086362905654,1.6224086362905654,67
"EOG Resources, Inc.",Energy,2023,1.717,1.6882989183874142,1.0123180356074233,0.711,0.711,-0.4185665453033215,1.0738899591216637,-0.4123703810979191,-0.6089129443578146,1.4308845809107447,1.621230979965238,1.621230979965238,68
The Hershey Company,Consumer Defensive,2023,1.898,1.8391472868217054,1.4783948764109325,0.987,0.987,-0.012500153828019648,1.077022001007074,-0.08728506556167959,-0.12888657552979477,1.490895030238952,1.6072814519407272,1.6072814519407272,69
"Charter Communications, Inc.",Communication Services,2023,1.424,1.4369323915237133,0.738640029439094,0.616,0.616,-0.17732699359666423,1.0686910949723778,-0.5509429393831988,-0.8135314823042838,0.9159670230357583,1.5521715117433779,1.5521715117433779,70
Devon Energy Corporation,Energy,2023,1.512,1.4867256637168142,0.7158534680366778,0.612,0.612,-0.5619509327947707,1.0697189366726936,-0.5584189344314126,-0.8245706605902997,1.2778044008314486,1.5404241286269775,1.5404241286269775,71
"Copart, Inc.",Consumer Cyclical,2023,2.081,1.8048568950563746,2.2028727673954047,1.687,1.687,1.0844874341030803,1.0763092335093145,0.44941399137605226,0.6636121537046308,1.1183853332923244,1.5392606136907738,1.5392606136907738,72
Mettler-Toledo International Inc.,Healthcare,2023,2.261,2.1052141527001864,1.765939417249132,1.269,1.269,0.06520279932859499,1.0825685886776495,0.15889264847995496,0.2346235201595783,1.700736617920537,1.5313158970895537,1.5313158970895537,73
Lennar Corporation,Consumer Cyclical,2023,1.344,1.165654813529922,0.45339299415142525,0.514,0.514,-0.7671919839506506,1.0631086566880437,-0.7267293246790132,-1.07310057444787,1.220584978102076,1.5264935685992953,1.5264935685992953,74
Cognizant Technology Solutions Corporation,Technology,2023,1.033,0.939090909090909,-0.09327579091331603,0.356,0.356,-0.5714792740648084,1.058468704376092,-1.0896477932736117,-1.6089920045874466,0.4782034831514923,1.5157162136741307,1.5157162136741307,75
Marathon Petroleum Corporation,Energy,2023,1.415,1.3913470993117012,0.5755751116739349,0.57,0.57,-0.6227806729426583,1.0677509811151609,-0.6276734677548019,-0.9268330531602889,1.1983557846165933,1.5024081648342238,1.5024081648342238,76
"Motorola Solutions, Inc.",Technology,2023,2.226,2.0236363636363635,1.5675901577372184,1.135,1.135,0.11979767391110113,1.0808649401050263,0.048871059855252114,0.07216381756400284,1.4477924838261174,1.4954263401732155,1.4954263401732155,77
Bunge Limited,Consumer Defensive,2023,0.864,0.8372093023255813,-0.2868017774099732,0.317,0.317,-0.6567388511182625,1.056388809549226,-1.203709813484314,-1.7774178754780312,0.36993707370828927,1.490616098068058,1.490616098068058,78
Lam Research Corporation,Technology,2023,2.267,2.0609090909090906,1.6246693730722324,1.192,1.192,0.17037891400689933,1.0816430008063553,0.09715138646418994,0.14345534861851975,1.454290459065333,1.4812140244537126,1.4812140244537126,79
PACCAR Inc,Industrials,2023,1.261,1.1963946869070208,0.3477518136388581,0.496,0.496,-0.7354824113517241,1.0637397640076234,-0.7629701305618337,-1.1266143495091498,1.0832342249905822,1.4743661631480078,1.4743661631480078,80
A. O. Smith Corporation,Industrials,2023,1.746,1.6565464895635673,1.1625326330342507,0.877,0.877,-0.1794927313417898,1.073231849504518,-0.20192280287694386,-0.2981625598458941,1.3420253643760405,1.4606951928801448,1.4606951928801448,81
"Host Hotels & Resorts, Inc.",Real Estate,2023,1.316,1.2997530864197533,0.48413938989068095,0.555,0.555,-0.31127060856066213,1.0658645204762254,-0.6525733914168308,-0.9636006934330041,0.7954099984513431,1.447740083323685,1.447740083323685,82
Aptiv PLC,Consumer Cyclical,2023,1.086,0.9418907198612316,-0.15904361574945255,0.358,0.358,-1.0134511392928347,1.0585259197909818,-1.0840995911592306,-1.6007994373221517,0.8544075235433821,1.441755821572699,1.441755821572699,83
Fastenal Company,Industrials,2023,2.084,1.9772296015180266,1.7303592659324831,1.316,1.316,0.46113579759354134,1.0798969904371845,0.1977311755407138,0.29197313339834213,1.2692234683389418,1.438386132534141,1.438386132534141,84
Vertex Pharmaceuticals Incorporated,Healthcare,2023,2.049,1.9078212290502792,1.4505399594085115,1.095,1.095,0.023027010915303063,1.078450891995701,0.015228711073560094,0.022486967356595937,1.4275129484932085,1.4280529920519156,1.4280529920519156,85
The Sherwin-Williams Company,Basic Materials,2023,2.146,2.059500959692898,1.7593213416970543,1.395,1.395,0.4494058862030943,1.0816135961722526,0.2544404186202441,0.37571094231643776,1.30991545549396,1.3836103993806166,1.3836103993806166,86
Visa Inc.,Financial Services,2023,3.247,2.6549468520032704,2.355570523849365,2.142,2.142,1.3689609076421103,1.0941192877363608,0.6717902358197562,0.9919766046114376,0.9866096162072546,1.3635939192379274,1.3635939192379274,87
Masco Corporation,Industrials,2023,1.489,1.4127134724857686,0.730782796777311,0.697,0.697,-0.44216502111026273,1.0681915207396881,-0.42693691921782373,-0.6304221361481563,1.1729478178875736,1.3612049329254674,1.3612049329254674,88
"Consolidated Edison, Inc.",Utilities,2023,1.188,1.189189189189189,0.6954668944975384,0.678,0.678,-1.1032562292904486,1.0635917973770939,-0.4502596592673784,-0.6648608809393203,1.798723123787987,1.3603277754368586,1.3603277754368586,89
"Gartner, Inc.",Technology,2023,2.109,1.917272727272727,1.4047055676348608,1.148,1.148,0.13133374621365154,1.0786476966056109,0.062313174107063926,0.09201266642087864,1.2733718214212093,1.312692901213982,1.312692901213982,90
Union Pacific Corporation,Industrials,2023,1.665,1.579696394686907,1.0264558363929581,0.898,0.898,-0.14884763086880126,1.0716407020205814,-0.17677605112228473,-0.2610304491176782,1.1753034672617595,1.2874862855106364,1.2874862855106364,91
CSX Corporation,Industrials,2023,1.5,1.4231499051233396,0.7492623617532886,0.752,0.752,-0.3619040436810071,1.06840676895824,-0.3511874928688913,-0.5185692768115122,1.1111664054342958,1.2678316385648007,1.2678316385648007,92
Weyerhaeuser Company,Real Estate,2023,1.527,1.5081481481481482,0.8207239410173154,0.801,0.801,-0.13919741821027362,1.0701614475433285,-0.2897038545600249,-0.4277815167090404,0.959921359227589,1.2485054577263557,1.2485054577263557,93
"VeriSign, Inc.",Technology,2023,2.862,2.6018181818181816,2.4530140834218286,2.475,2.475,1.3089005112509198,1.0929976166594604,0.817316367378071,1.2068629041857386,1.1441135721709088,1.24615117923609,1.24615117923609,94
"Applied Materials, Inc.",Technology,2023,1.978,1.798181818181818,1.222330513759572,1.066,1.066,0.05856775168987172,1.0761705387770388,-0.009495616724416622,-0.014021385150804202,1.1637627620697002,1.2363518989103761,1.2363518989103761,95
"Rockwell Automation, Inc.",Industrials,2023,1.632,1.5483870967741933,0.971017141465024,0.895,0.895,-0.15322550236494248,1.0709931332579448,-0.1795179406284783,-0.26507916863985864,1.1242426438299664,1.2360963101048827,1.2360963101048827,96
Allegion plc,Industrials,2023,1.527,1.4487666034155595,0.7946212939670524,0.8,0.8,-0.29185809974274757,1.0689352894042983,-0.2898066477590179,-0.4279333028516148,1.0864793937098,1.222554596818667,1.222554596818667,97
"Regeneron Pharmaceuticals, Inc.",Healthcare,2023,1.716,1.5977653631284916,0.9551247732720662,0.908,0.908,-0.022299842149556652,1.0720145998327841,-0.16605058218371288,-0.24519304378896406,0.9774246154216228,1.2003178170610302,1.2003178170610302,98
"Cisco Systems, Inc.",Technology,2023,1.504,1.3672727272727272,0.5624390974474567,0.708,0.708,-0.2591179317188262,1.067254824670523,-0.41040095259051484,-0.6060048535585848,0.8215570291662828,1.1684439510060414,1.1684439510060414,99
ON Semiconductor Corporation,Technology,2023,1.583,1.439090909090909,0.6724210001661425,0.772,0.772,-0.202324960383193,1.0687356309960845,-0.32524702545378703,-0.48026515237441214,0.8747459605493355,1.1526861525405545,1.1526861525405545,100
"Leidos Holdings, Inc.",Technology,2023,0.312,0.28363636363636363,-1.097034675219297,0.228,0.228,-0.6850652167360747,1.0451589429523354,-1.5225786223976447,-2.248264847518879,-0.4119694584832223,1.151230172299582,1.151230172299582,101
Fifth Third Bancorp,Financial Services,2023,1.728,1.4129190515126737,0.5877288115335619,0.731,0.731,-0.3224610194008124,1.0681957603252683,-0.37931283915837666,-0.5600996296332079,0.9101898309343743,1.1478284411667699,1.1478284411667699,102
Solventum Corporation,Healthcare,2023,1.204,1.121042830540037,0.1934053279211346,0.557,0.557,-0.10737858774188694,1.0621934129149768,-0.6455260666813801,-0.9531944968407956,0.30078391566302154,1.1465998247619302,1.1465998247619302,103
"Super Micro Computer, Inc.",Technology,2023,1.453,1.3209090909090908,0.4914381222746342,0.69,0.69,-0.275090954906973,1.0662999510937763,-0.4352583475674769,-0.6427096952695441,0.7665290771816071,1.1341478175441784,1.1341478175441784,104
Globe Life Inc.,Financial Services,2023,1.606,1.313164349959117,0.4457428412224838,0.675,0.675,-0.3895904509489368,1.0661405290289627,-0.4570877335220417,-0.6749433286350813,0.8353332921714206,1.1206861698575652,1.1206861698575652,105
"Best Buy Co., Inc.",Consumer Cyclical,2023,1.21,1.049436253252385,0.13530576265251953,0.553,0.553,-0.7056271951151045,1.0607260046114917,-0.6513508611508002,-0.9617954849651379,0.8409329577676241,1.0971012476176574,1.0971012476176574,106
Synchrony Financial,Financial Services,2023,1.25,1.0220768601798855,0.031423124577041925,0.52,0.52,-0.5753951275553529,1.0601658736302357,-0.7123518478450348,-1.051870553688122,0.6068182521323948,1.083293678265164,1.083293678265164,107
Oracle Corporation,Technology,2023,1.933,1.757272727272727,1.1596825944894342,1.133,1.133,0.1180228935568626,1.0753209201037417,0.05224983468849334,0.07715297252356446,1.0416597009325717,1.0825296219658698,1.0825296219658698,108
ResMed Inc.,Healthcare,2023,1.729,1.6098696461824953,0.9744653060641796,1.0,1.0,0.0,1.0722651444799953,-0.06977336833469033,-0.10302851295314087,0.9744653060641796,1.0774938190173204,1.0774938190173204,109
McDonald's Corporation,Consumer Cyclical,2023,1.619,1.404163052905464,1.1061839543170893,1.09,1.09,0.142072589620491,1.068015203280036,0.020375720523437335,0.030087126879250997,0.9641113646965983,1.0760968274378382,1.0760968274378382,110
"O'Reilly Automotive, Inc.",Consumer Cyclical,2023,1.67,1.448395490026019,1.2272470051114484,1.2,1.2,0.31571686582331293,1.068927630774184,0.11566562510236038,0.17079378047120564,0.9115301392881354,1.0564532246402427,1.0564532246402427,111
PG&E Corporation,Utilities,2023,1.199,1.2002002002002004,0.7359438037011,0.865,0.865,-0.46254531352239314,1.0638179194460093,-0.20689001998536843,-0.3054972350151011,1.198489117223493,1.0414410387162012,1.0414410387162012,112
Kimco Realty Corporation,Real Estate,2023,1.086,1.0725925925925928,0.11724627728818816,0.568,0.568,-0.30217730988360914,1.0612003173785902,-0.6250345026175772,-0.9229363134684447,0.4194235871717973,1.0401825907566329,1.0401825907566329,113
Deckers Outdoor Corporation,Consumer Cyclical,2023,1.747,1.5151777970511708,1.4100284739578346,1.375,1.375,0.5919691234187119,1.0703066944924502,0.2505084933485797,0.3699049962448756,0.8180593505391227,1.0401234777129589,1.0401234777129589,114
The Mosaic Company,Basic Materials,2023,0.701,0.6727447216890594,-0.5434135665930216,0.362,0.362,-0.7258758364495548,1.0530399148714076,-1.0677922054505815,-1.576719681108346,0.18246226985653313,1.0333061145153244,1.0333061145153244,115
Pool Corporation,Industrials,2023,1.651,1.5664136622390892,1.0029363900598955,1.051,1.051,0.07442381543440055,1.0713659280726573,-0.0191923107506815,-0.028339684380611744,0.928512574625495,1.0312760744405074,1.0312760744405074,116
Accenture plc,Technology,2023,1.239,1.1263636363636365,0.19351246174553602,0.604,0.604,-0.35140651013923,1.0623025313007517,-0.5646198326975577,-0.8337270098189926,0.544918971884766,1.0272394715645286,1.0272394715645286,117
"Old Dominion Freight Line, Inc.",Industrials,2023,1.888,1.7912713472485766,1.4010870172696024,1.414,1.414,0.6041462664674875,1.076026971856421,0.27314703926789435,0.40333344863519455,0.7969407508021149,0.9977535686344079,0.9977535686344079,118
"United Parcel Service, Inc.",Industrials,2023,1.316,1.2485768500948766,0.44014963851874805,0.73,0.73,-0.39400843465270935,1.064811951816477,-0.3775089573462421,-0.5574359878299923,0.8341580731714574,0.9975856263487404,0.9975856263487404,119
