Ticker,Company Name,Sector,Industry,Beta,Calendar Year,Period,Filing Date,Revenue,Cost Of Revenue,Net Income,Total Current Assets,Total Assets,Total Current Liabilities,Total Liabilities,Long-Term Debt,Short-Term Debt,Total Debt,Interest Expense,Income Before Tax,Income Tax Expense,Depreciation and Amortization,Operating Expenses,Operating Income,EBITDA,EBIT,EBT,Operating Cash Flow,Capital Expenditure,Cash And Short Term Investments,Net Cash,Free Cash Flow,Stock Based Compensation,Dividends Paid,Common Stock,Preferred Stock,Retained Earnings,Weighted Average Shares Outstanding,Revenue Per Share,Earnings per Share,Book Value Per Share,Current Ratio,Quick Ratio,Return On Equity,Return On Invested Capital,Return On Assets,Return On Capital Employed,Gross Profit Margin,Operating Profit Margin,Effective Tax Rate,Pre-Tax Cost of Debt,After-Tax Cost of Debt,Interest Coverage Ratio,Price Dates,Price,Market Cap,P/E Ratio,P/S Ratio,Risk Free Rate,Equity Risk Premium,WACC,Avg Market Return
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Agricultural Farm Products,0.73,2023,FY,12/03/2024,93968000000,87685000000,3483000000,29767000000,54631000000,18662000000,30166000000,8259000000,406000000,9596000000,685000000,4294000000,828000000,167895,3400000000,2883000000,3942000000,4996000000,4294000000,4460000000,-1494000000,5390000000,-4206000000,2966000000,112000000,-977000000,8054000000,0,26165000000,541000000,173.690,6.440,45.220,1.600,0.950,0.144,0.071,0.064,0.080,0.067,0.031,0.1930,0.0710,0.0580,4.21,15/07/2024,63.40,34299400192,9.84,0.37,0.042,0.038,0.067,0.08
ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,0.79,2023,FY,03/08/2023,17198800000,9953400000,3412000000,42170600000,50971000000,42767600000,47461900000,3338900000,3838200000,3338900000,253300000,4437600000,1025600000,549300000,3551400000,4471100000,5257000000,4690900000,4437600000,4207600000,-571600000,2083500000,-1255400000,3636000000,220400000,-1903600000,63900000,0,22118000000,413700000,41.570,8.250,8.480,0.990,0.990,0.972,0.324,0.067,0.550,0.421,0.260,0.2310,0.0760,0.0580,17.65,04/04/2024,241.49,99904413696,29.27,5.81,0.043,0.040,0.072,0.08
ADSK,"Autodesk, Inc.",Technology,Software - Application,1.48,2023,FY,14/03/2023,5005000000,480000000,823000000,3341000000,9438000000,4000000000,8293000000,2581000000,85000000,2666000000,43000000,946000000,123000000,150000000,3536000000,989000000,1139000000,989000000,946000000,2071000000,-46000000,2072000000,-594000000,2025000000,657000000,0,3325000000,0,-1995000000,216000000,23.170,3.810,5.300,0.840,0.840,0.719,0.226,0.087,0.182,0.904,0.198,0.1300,0.0160,0.0140,23,14/11/2023,217.36,46949761024,57.05,9.38,0.045,0.040,0.093,0.08
AEE,Ameren Corporation,Utilities,Regulated Electric,0.45,2023,FY,29/02/2024,7500000000,5420000000,1152000000,2181000000,40830000000,3345000000,29352000000,15121000000,1385000000,16506000000,566000000,1340000000,183000000,167895,522000000,1558000000,3058000000,1901000000,1340000000,2564000000,-3771000000,38000000,-16468000000,-1207000000,26000000,-662000000,3000000,49000000,4136000000,262800000,28.540,4.380,43.680,0.650,0.430,0.102,0.048,0.028,0.042,0.277,0.208,0.1370,0.0340,0.0300,2.75,03/07/2024,70.56,18543167488,16.11,2.47,0.044,0.036,0.046,0.08
AEP,"American Electric Power Company, Inc.",Utilities,Regulated Electric,0.52,2023,FY,26/02/2024,18982300000,6578300000,2208100000,6082100000,96684000000,11583600000,71398100000,38172100000,5436400000,43608500000,-1806900000,2208700000,54600000,3090400000,8847800000,3556200000,3492200000,455800000,2208700000,5012200000,-7506500000,544400000,-43064100000,-2494300000,50900000,-1760400000,3427900000,21776300000,12800400000,518903682,36.580,4.260,48.730,0.530,0.360,0.088,0.050,0.023,0.042,0.654,0.187,0.0250,-0.0410,-0.0400,-1.97,30/06/2024,87.28,45289914368,20.49,2.39,0.044,0.036,0.012,0.08
AFL,Aflac Incorporated,Financial Services,Insurance - Life,0.95,2023,FY,22/02/2024,18701000000,0,4659000000,7325000000,130878000000,2210000000,108893000000,7264000000,52000000,7388000000,195000000,5262000000,603000000,39000000,2150000000,13473000000,39000000,5457000000,5262000000,3190000000,0,77596000000,70208000000,3190000000,79000000,-966000000,136000000,0,47993000000,596173000,31.370,7.810,36.880,3.310,38.810,0.212,0.407,0.036,0.105,1.000,0.720,0.1150,0.0260,0.0230,69.09,26/06/2024,89.22,53190553600,11.42,2.84,0.043,0.037,0.071,0.08
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,1.09,2023,FY,14/02/2024,47251000000,8990000000,3643000000,70908000000,539306000000,19796000000,488005000000,22137000000,250000000,22387000000,1136000000,3858000000,-20000000,4214000000,33934000000,3878000000,3878000000,4759000000,3858000000,6243000000,-2708000000,251088000000,228701000000,3535000000,199000000,-1026000000,4766000000,485000000,37516000000,719506291,65.670,5.020,71.300,3.580,15.260,0.080,0.058,0.007,0.008,0.810,0.082,-0.0050,0.0510,0.0510,3.41,18/06/2024,74.13,53337001984,14.77,1.13,0.042,0.038,0.074,0.08
AIZ,"Assurant, Inc.",Financial Services,Insurance - Specialty,0.54,2023,FY,15/02/2024,11131600000,0,642500000,10805100000,33635200000,2419300000,28825700000,2080400000,0,2080400000,108000000,806800000,164300000,207400000,7695100000,642500000,642500000,914800000,806800000,1138100000,-202500000,3733600000,1653200000,935600000,75100000,-152300000,600000,0,4028200000,53455139,208.240,12.020,89.970,4.470,7.050,0.134,0.074,0.019,0.021,1.000,0.058,0.2040,0.0520,0.0410,5.95,19/06/2024,169.60,9065991168,14.11,0.81,0.042,0.038,0.059,0.08
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance - Brokers,0.73,2023,FY,09/02/2024,10071900000,5826600000,969500000,32116100000,51615800000,31064700000,40800500000,7358200000,959000000,8317200000,296700000,1185100000,219100000,696500000,2386200000,-1983300000,2555600000,1485300000,1185100000,2031700000,-193600000,971500000,-7345700000,1838100000,31400000,-473600000,216700000,4052900000,4052900000,214900000,46.870,4.510,50.330,1.030,0.160,0.090,-0.085,0.019,-0.096,0.422,-0.197,0.1850,0.0360,0.0290,-6.68,13/06/2024,260.78,56041623552,57.82,5.56,0.043,0.038,0.064,0.08
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,0.67,2023,FY,31/12/2023,3811920000,1643631000,547629000,1804855000,9900037000,836038000,5302882000,3538229000,222944000,4535979000,17709000,652527000,106373000,167895,1466258000,702031000,1272807000,671711000,652527000,1348439000,-851025000,864439000,-3671540000,497414000,328467000,0,1512000,0,2467980000,152510000,24.990,3.590,30.140,2.160,2.160,0.119,0.070,0.055,0.078,0.569,0.184,0.1630,0.0040,0.0030,39.64,04/05/2024,101.08,15415710720,28.16,4.04,0.045,0.035,0.054,0.08
ALB,Albemarle Corporation,Basic Materials,Chemicals - Specialty,1.57,2023,FY,28/03/2024,9617203000,8416193999,1573476000,5216919000,18270652000,3560462000,8605553000,3436518000,656344000,4311027000,188772000,246738000,430277000,429944000,959886000,241123000,671067000,2192525000,246738000,1325321000,-2149281000,889900000,-3421127000,-823960000,36545000,-187188000,1174000,0,6987015000,117317000,81.980,13.410,82.380,1.470,0.860,0.167,-0.013,0.086,0.016,0.125,0.025,1.7440,0.0440,-0.0330,1.28,31/07/2024,93.67,10989083648,6.99,1.14,,,-0.009,0.08
ALGN,"Align Technology, Inc.",Healthcare,Medical - Devices,1.66,2023,FY,28/02/2024,3862260000,1143542000,445053000,2446618000,6083877000,2066610999,2453388000,96968000,29651000,96968000,-2134000,641204000,196151000,167895,2061391000,657327000,812371000,639070000,641204000,785776000,-177716000,972742000,875774000,608060000,154026000,0,7000,0,2447174000,76426000,50.540,5.820,47.500,1.180,1.040,0.123,0.121,0.073,0.164,0.704,0.170,0.3060,-0.0220,-0.0150,-308.03,02/07/2024,239.74,18322368512,41.19,4.74,0.044,0.036,0.103,0.08
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,0.48,2023,FY,21/02/2024,57094000000,7137000000,-188000000,10766000000,103362000000,42037000000,7942000000,7942000000,350000000,7942000000,379000000,-348000000,-135000000,672000000,50305000000,-213000000,-213000000,56000000,-348000000,4228000000,-267000000,5866000000,-2076000000,3961000000,87000000,-1032000000,9000000,2001000000,49716000000,262500000,217.500,-0.720,363.500,0.260,0.980,-0.011,-0.005,-0.002,-0.003,0.875,-0.004,0.3880,0.0480,0.0290,-0.56,25/06/2024,161.34,42351751168,-224.08,0.74,0.043,0.038,0.056,0.08
ALLE,Allegion plc,Industrials,Security & Protection Services,1.13,2023,FY,20/02/2024,3650800000,2069300000,540400000,1360900000,4311500000,1079700000,2993200000,1602400000,412600000,2015000000,93100000,617200000,76600000,109000000,865600000,708400000,833300000,710100000,617200000,600600000,-84200000,468100000,-1546900000,516400000,26400000,-158700000,900000,0,1578900000,87900000,41.530,6.150,15.000,1.260,0.850,0.410,0.186,0.125,0.219,0.433,0.194,0.1240,0.0460,0.0400,7.61,24/06/2024,118.39,10406480896,19.25,2.85,0.042,0.038,0.078,0.08
AMAT,"Applied Materials, Inc.",Technology,Semiconductors,1.55,2023,FY,15/12/2023,26517000000,14133000000,6856000000,19147000000,30729000000,7372000000,14380000000,5461000000,100000000,5561000000,238000000,7716000000,860000000,515000000,4730000000,7654000000,8469000000,7954000000,7716000000,8700000000,-1106000000,6869000000,1308000000,7594000000,490000000,-975000000,8000000,0,43726000000,840000000,31.570,8.160,19.460,2.600,1.820,0.419,0.310,0.223,0.328,0.467,0.289,0.1110,0.0430,0.0380,32.16,18/04/2024,194.32,163228794880,23.81,6.16,0.046,0.034,0.096,0.08
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,0.86,2023,FY,17/08/2023,14694000000,11969000000,1048000000,4777000000,17003000000,6260000000,12913000000,6653000000,93000000,6746000000,259000000,1251000000,193000000,167895,1321000000,1508000000,1992000000,1500000000,1251000000,1261000000,-526000000,689000000,-6057000000,735000000,54000000,-723000000,14000000,0,865000000,1468000000,10.010,0.710,2.790,0.760,0.410,0.256,0.118,0.062,0.140,0.185,0.103,0.1540,0.0380,0.0320,5.82,18/04/2024,8.90,13065199616,12.54,0.89,0.046,0.030,0.061,0.08
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,1.68,2023,FY,31/01/2024,22680000000,12220000000,854000000,16768000000,67885000000,6689000000,11993000000,2252000000,751000000,3003000000,106000000,492000000,-346000000,3551000000,10059000000,401000000,4149000000,614000000,492000000,1667000000,-546000000,5773000000,2770000000,1121000000,1384000000,0,17000000,0,723000000,1614000000,14.050,0.530,34.630,2.510,1.860,0.015,0.002,0.013,0.007,0.461,0.018,-0.7030,0.0350,0.0600,3.78,04/06/2024,159.99,258223865856,301.87,11.39,0.043,0.037,0.104,0.08
AME,"AMETEK, Inc.",Industrials,Industrial - Machinery,1.18,2023,FY,22/02/2024,6596950000,4212484999,1313188000,2824668000,15023533000,2882573000,6293342000,1895432000,1417915000,3313347000,81795000,1606412000,293224000,167895,677006000,1707459000,2025843000,1688207000,1606412000,1735296000,-136249000,409804000,-2903543000,1599047000,46199000,-230329000,2709000,0,9940343000,230519000,28.620,5.700,37.870,0.980,0.590,0.150,0.116,0.087,0.141,0.361,0.259,0.1830,0.0250,0.0200,20.87,26/06/2024,166.58,38399856640,29.22,5.82,0.043,0.037,0.081,0.08
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,0.58,2023,FY,14/02/2024,28190000000,8451000000,6717000000,30332000000,97154000000,18392000000,90922000000,63170000000,1443000000,64613000000,2875000000,7855000000,1138000000,4071000000,11842000000,7897000000,14801000000,10730000000,7855000000,8471000000,-1112000000,10944000000,-53669000000,7359000000,431000000,-4556000000,33070000000,0,-26549000000,535000000,52.690,12.560,11.650,1.650,1.130,1.078,0.095,0.069,0.100,0.700,0.280,0.1450,0.0450,0.0380,2.75,18/06/2024,305.99,163704651776,24.36,5.81,0.042,0.038,0.057,0.08
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,1.37,2023,FY,22/02/2024,15535000000,-561000000,2556000000,28971000000,175191000000,201000000,170462000000,5554000000,201000000,5755000000,324000000,3234000000,678000000,167895,8949000000,7147000000,-154000000,3558000000,3234000000,4685000000,-184000000,7564000000,1809000000,4501000000,187000000,-550000000,3000000,21905000000,21905000000,105700000,146.970,24.180,44.740,144.130,145.050,0.540,0.539,0.015,0.041,1.036,0.460,0.2100,0.0560,0.0450,22.06,26/06/2024,433.88,45861117952,17.94,2.95,0.043,0.037,0.088,0.08
AMT,American Tower Corporation,Real Estate,REIT - Specialty,0.81,2023,FY,27/02/2024,11144200000,6347100000,1483300000,3710000000,66027600000,7249300000,55162200000,43172700000,3982100000,47154800000,1398200000,1521300000,154200000,3086500000,1370200000,3426900000,6513400000,3035700000,1521300000,4722400000,-1798100000,2093400000,-45061400000,2924300000,195700000,-2949300000,4800000,0,-3638800000,466063000,23.910,3.180,23.310,0.510,0.510,0.353,0.060,0.022,0.058,0.430,0.308,0.1010,0.0300,0.0270,2.45,01/07/2024,194.02,90425540608,61.01,8.11,0.045,0.035,0.057,0.08
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Specialty Retail,1.16,2023,FY,02/02/2024,574785000000,304739000000,30425000000,172351000000,527854000000,164917000000,325979000000,135611000000,18945000000,135611000000,3182000000,37545000000,7120000000,48663000000,232427000000,36852000000,85515000000,40727000000,37545000000,84946000000,-52729000000,87283000000,-48328000000,32217000000,24023000000,0,109000000,0,113618000000,10304000000,55.780,2.950,19.590,1.050,0.840,0.151,0.084,0.058,0.102,0.470,0.064,0.1900,0.0240,0.0190,11.58,06/06/2024,185.00,1906239995904,62.71,3.32,0.043,0.037,0.081,0.08
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,1.11,2023,FY,13/02/2024,5860168000,2229887000,2087321000,8390235000,9946806000,1909606000,2727747000,44413000,95751000,65519000,0,2422026000,334705000,70630000,1373032000,2257249000,2309180000,2422026000,2422026000,2034014000,-34434000,5007968000,4942449000,1999580000,296756000,0,31000,0,5114025000,309354000,18.940,6.750,23.340,4.390,3.380,0.289,0.264,0.210,0.281,0.620,0.385,0.1380,0.0000,0.0000,0,17/06/2024,340.08,105205104640,50.38,17.95,0.043,0.037,0.084,0.08
ANSS,"ANSYS, Inc.",Technology,Software - Application,1.11,2023,FY,21/02/2024,2269949000,271298000,500412000,2049567000,7322875000,889294000,1932511000,854396000,22454000,854396000,47145000,592138000,91726000,167895,1372516000,626135000,778001000,639283000,592138000,717122000,-25318000,860390000,5994000,691804000,221891000,0,953000,0,5283342000,86833000,26.140,5.760,62.080,2.300,2.300,0.093,0.084,0.068,0.097,0.880,0.276,0.1550,0.0550,0.0470,13.28,25/06/2024,324.38,28166889472,56.32,12.41,0.043,0.038,0.083,0.08
AON,Aon plc,Financial Services,Insurance - Brokers,0.91,2023,FY,16/02/2024,13401000000,1084000000,2564000000,21704000000,33959000000,21651000000,34701000000,9995000000,1386000000,12032000000,484000000,3169000000,541000000,256000000,8175000000,4142000000,4398000000,3589000000,3169000000,3435000000,-252000000,1147000000,-10885000000,3183000000,438000000,-489000000,2000000,0,-3399000000,203500000,65.850,12.600,-3.650,1.000,1.000,-3.104,0.325,0.076,0.336,0.919,0.309,0.1710,0.0400,0.0330,8.56,20/06/2024,296.59,60356063232,23.54,4.50,0.043,0.037,0.069,0.08
AOS,A. O. Smith Corporation,Industrials,Industrial - Machinery,1.14,2023,FY,13/02/2024,3852800000,2368000000,556600000,1500300000,3213900000,945300000,1369500000,145200000,10000000,155200000,12000000,733500000,176900000,78300000,727400000,757400000,842600000,745500000,733500000,670300000,-72600000,363400000,208200000,597700000,11500000,-183500000,294800000,0,3258100000,149952679,25.690,3.710,12.300,1.590,1.060,0.302,0.287,0.173,0.334,0.385,0.197,0.2410,0.0770,0.0590,63.12,17/06/2024,83.68,12548039680,22.56,3.26,0.043,0.037,0.085,0.08
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,3.27,2023,FY,22/02/2024,8279000000,4052000000,2855000000,2462000000,15244000000,2404000000,11553000000,5186000000,118000000,5304000000,327000000,2883000000,-324000000,1770000000,851000000,6843000000,4922000000,2858000000,2883000000,3129000000,-2357000000,87000000,-5217000000,772000000,84000000,-308000000,263000000,0,-2959000000,308000000,26.880,9.270,11.980,1.020,0.840,1.075,0.956,0.187,0.533,0.511,0.826,-0.1120,0.0620,0.0690,20.93,26/06/2024,28.64,8821120000,3.09,1.07,0.043,0.037,0.128,0.08
APD,"Air Products and Chemicals, Inc.",Basic Materials,Chemicals - Specialty,0.82,2023,FY,16/11/2023,12600000000,8833000000,2300200000,5200500000,32002500000,3895800000,16342200000,10062400000,874500000,10936900000,177500000,2882400000,551200000,1358300000,1027800000,2494600000,4662800000,3028900000,2882400000,3206300000,-4626400000,1949200000,-8987700000,-1420100000,59900000,-1496600000,249400000,0,17289700000,222300000,56.680,10.310,70.450,1.330,1.170,0.161,0.080,0.072,0.089,0.299,0.198,0.1910,0.0160,0.0130,14.05,18/07/2024,266.59,59262955520,25.86,4.70,0.042,0.040,0.064,0.08
APH,Amphenol Corporation,Technology,"Hardware,  Equipment & Parts",1.26,2023,FY,07/02/2024,12554700000,8470600000,1928000000,6835300000,16526400000,3152700000,8099900000,3983500000,353800000,4337300000,139500000,2454800000,509300000,406400000,1489900000,2559600000,3029900000,2576800000,2454800000,2528700000,-372800000,1660200000,-2677100000,2155900000,99000000,-500600000,600000,0,5921100000,1193000000,10.520,1.620,7.060,2.170,1.480,0.231,0.160,0.117,0.191,0.325,0.204,0.2070,0.0320,0.0260,18.35,11/06/2024,67.22,80193462272,41.49,6.39,0.044,0.036,0.086,0.08
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management - Global,1.59,2023,FY,27/02/2024,33213000000,916000000,5047000000,176609000000,313488000000,216445000000,288243000000,7580000000,512000000,8092000000,145000000,5586000000,-923000000,24896000000,23980000000,8317000000,9120000000,4269000000,5586000000,6602000000,-24402000000,19926000000,11834000000,-17800000000,1026000000,-1034000000,1388000000,1398000000,2972000000,581380268,57.130,8.320,43.420,0.820,0.820,0.359,0.438,0.016,0.086,0.972,0.250,-0.1650,0.0180,0.0210,57.36,01/07/2024,118.74,69033091072,14.27,2.08,0.045,0.035,0.092,0.08
APTV,Aptiv PLC,Consumer Cyclical,Auto - Parts,1.79,2023,FY,06/02/2024,20051000000,16612000000,2938000000,8247000000,24427000000,4808000000,12583000000,6657000000,130000000,6787000000,285000000,1337000000,-1928000000,167895,1669000000,1559000000,2774000000,1295000000,1337000000,1896000000,-906000000,1640000000,-5147000000,990000000,115000000,-32000000,3000000,0,8162000000,276920000,72.410,10.500,42.770,1.720,1.220,0.254,0.208,0.120,0.080,0.172,0.078,-1.4420,0.0420,0.1020,5.47,10/06/2024,79.66,22059446272,7.59,1.10,0.045,0.035,0.107,0.08
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,1.16,2023,FY,29/01/2024,2885699000,1598311000,103639000,781752000,36771402000,2001077000,14148409000,11598573000,99952000,11698525000,74204000,92444000,-11195000,167895,199354000,1088034000,2181507000,166648000,92444000,1630550000,-2488303000,618190000,-11080335000,-857753000,82858000,-847483000,1719000,0,18471175000,170909000,16.880,0.540,132.370,0.390,0.000,0.006,0.040,0.003,0.031,0.446,0.377,-0.1210,0.0060,0.0070,14.66,02/06/2024,117.67,20110862336,217.91,6.97,0.045,0.035,0.057,0.08
ATO,Atmos Energy Corporation,Utilities,Regulated Gas,0.66,2023,FY,14/11/2023,4275357000,2217079000,885862000,885768000,22516968000,1352592000,11646904000,6639211000,253423000,6892634000,137281000,999641000,113779000,167895,991131000,1067147000,1741249000,1136922000,999641000,3459743000,-2805973000,15404000,-6877230000,653770000,10178000,-430345000,742000,0,3666674000,145121000,29.460,6.100,74.900,0.650,0.470,0.082,0.053,0.039,0.050,0.481,0.250,0.1140,0.0200,0.0180,7.77,16/07/2024,122.34,17754103808,20.06,4.15,0.042,0.040,0.053,0.08
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,0.97,2023,FY,23/02/2024,2824455000,1805097000,928825000,530960000,20678214000,694554000,8893423000,7672229000,324926000,8135054000,204632000,938591000,10153000,167895,134440000,884918000,1701883000,1143610000,938591000,1565497000,-197274000,530960000,-7604094000,1368223000,27142000,-922657000,1420000,478156000,478156000,141307186,19.990,6.560,83.400,0.760,0.760,0.079,0.044,0.045,0.044,0.361,0.313,0.0110,0.0250,0.0250,4.32,27/06/2024,206.30,29151672320,31.45,10.32,0.043,0.037,0.067,0.08
