Ticker,Company Name,Sector,Industry,Beta,Calendar Year,Period,Filing Date,Revenue,Cost Of Revenue,Net Income,Total Current Assets,Total Assets,Total Current Liabilities,Total Liabilities,Long-Term Debt,Short-Term Debt,Total Debt,Interest Expense,Income Before Tax,Income Tax Expense,Depreciation and Amortization,Operating Expenses,Operating Income,EBITDA,EBIT,EBT,Operating Cash Flow,Capital Expenditure,Cash And Short Term Investments,Net Cash,Free Cash Flow,Stock Based Compensation,Dividends Paid,Common Stock,Preferred Stock,Retained Earnings,Weighted Average Shares Outstanding,Revenue Per Share,Earnings per Share,Book Value Per Share,Current Ratio,Quick Ratio,Return On Equity,Return On Invested Capital,Return On Assets,Return On Capital Employed,Gross Profit Margin,Operating Profit Margin,Effective Tax Rate,Pre-Tax Cost of Debt,After-Tax Cost of Debt,Interest Coverage Ratio,Price Dates,Price,Market Cap,P/E Ratio,P/S Ratio,Risk Free Rate,Equity Risk Premium,WACC,Avg Market Return
ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,0.79,2023,FY,,17198800000.0,9953400000.0,3412000000,42170600000.0,50971000000,42767600000,47461900000,3338900000,3838200000.0,3338900000,253300000.0,4437600000,1025600000,549300000,3551400000,4471100000,5257000000,4690900000,4437600000,4207600000,-571600000.0,2083500000,-1255400000,3636000000,220400000.0,-1903600000.0,63900000.0,,22118000000.0,413700000,41.57,8.25,8.48,0.99,0.99,0.972,0.324,0.067,0.55,0.421,0.26,0.231,0.076,0.058,17.65,,241.49,99904413696,29.27,5.81,0.043,0.04,0.072,0.08
ADSK,"Autodesk, Inc.",Technology,Software - Application,1.48,2023,FY,,5005000000.0,480000000.0,823000000,3341000000.0,9438000000,4000000000,8293000000,2581000000,85000000.0,2666000000,43000000.0,946000000,123000000,150000000,3536000000,989000000,1139000000,989000000,946000000,2071000000,-46000000.0,2072000000,-594000000,2025000000,657000000.0,,3325000000.0,,-1995000000.0,216000000,23.17,3.81,5.3,0.84,0.84,0.719,0.226,0.087,0.182,0.904,0.198,0.13,0.016,0.014,23.0,,217.36,46949761024,57.05,9.38,0.045,0.04,0.093,0.08
AEE,Ameren Corporation,Utilities,Regulated Electric,0.45,2023,FY,,7500000000.0,5420000000.0,1152000000,2181000000.0,40830000000,3345000000,29352000000,15121000000,1385000000.0,16506000000,566000000.0,1340000000,183000000,167895,522000000,1558000000,3058000000,1901000000,1340000000,2564000000,-3771000000.0,38000000,-16468000000,-1207000000,26000000.0,-662000000.0,3000000.0,49000000.0,4136000000.0,262800000,28.54,4.38,43.68,0.65,0.43,0.102,0.048,0.028,0.042,0.277,0.208,0.137,0.034,0.03,2.75,,70.56,18543167488,16.11,2.47,0.044,0.036,0.046,0.08
AEP,"American Electric Power Company, Inc.",Utilities,Regulated Electric,0.52,2023,FY,,18982300000.0,6578300000.0,2208100000,6082100000.0,96684000000,11583600000,71398100000,38172100000,5436400000.0,43608500000,-1806900000.0,2208700000,54600000,3090400000,8847800000,3556200000,3492200000,455800000,2208700000,5012200000,-7506500000.0,544400000,-43064100000,-2494300000,50900000.0,-1760400000.0,3427900000.0,21776300000.0,12800400000.0,518903682,36.58,4.26,48.73,0.53,0.36,0.088,0.05,0.023,0.042,0.654,0.187,0.025,-0.041,-0.04,-1.97,,87.28,45289914368,20.49,2.39,0.044,0.036,0.012,0.08
AFL,Aflac Incorporated,Financial Services,Insurance - Life,0.95,2023,FY,,18701000000.0,,4659000000,7325000000.0,130878000000,2210000000,108893000000,7264000000,52000000.0,7388000000,195000000.0,5262000000,603000000,39000000,2150000000,13473000000,39000000,5457000000,5262000000,3190000000,,77596000000,70208000000,3190000000,79000000.0,-966000000.0,136000000.0,,47993000000.0,596173000,31.37,7.81,36.88,3.31,38.81,0.212,0.407,0.036,0.105,1.0,0.72,0.115,0.026,0.023,69.09,,89.22,53190553600,11.42,2.84,0.043,0.037,0.071,0.08
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,1.09,2023,FY,,47251000000.0,8990000000.0,3643000000,70908000000.0,539306000000,19796000000,488005000000,22137000000,250000000.0,22387000000,1136000000.0,3858000000,-20000000,4214000000,33934000000,3878000000,3878000000,4759000000,3858000000,6243000000,-2708000000.0,251088000000,228701000000,3535000000,199000000.0,-1026000000.0,4766000000.0,485000000.0,37516000000.0,719506291,65.67,5.02,71.3,3.58,15.26,0.08,0.058,0.007,0.008,0.81,0.082,-0.005,0.051,0.051,3.41,,74.13,53337001984,14.77,1.13,0.042,0.038,0.074,0.08
AIZ,"Assurant, Inc.",Financial Services,Insurance - Specialty,0.54,2023,FY,,11131600000.0,,642500000,10805100000.0,33635200000,2419300000,28825700000,2080400000,,2080400000,108000000.0,806800000,164300000,207400000,7695100000,642500000,642500000,914800000,806800000,1138100000,-202500000.0,3733600000,1653200000,935600000,75100000.0,-152300000.0,600000.0,,4028200000.0,53455139,208.24,12.02,89.97,4.47,7.05,0.134,0.074,0.019,0.021,1.0,0.058,0.204,0.052,0.041,5.95,,169.6,9065991168,14.11,0.81,0.042,0.038,0.059,0.08
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance - Brokers,0.73,2023,FY,,10071900000.0,5826600000.0,969500000,32116100000.0,51615800000,31064700000,40800500000,7358200000,959000000.0,8317200000,296700000.0,1185100000,219100000,696500000,2386200000,-1983300000,2555600000,1485300000,1185100000,2031700000,-193600000.0,971500000,-7345700000,1838100000,31400000.0,-473600000.0,216700000.0,4052900000.0,4052900000.0,214900000,46.87,4.51,50.33,1.03,0.16,0.09,-0.085,0.019,-0.096,0.422,-0.197,0.185,0.036,0.029,-6.68,,260.78,56041623552,57.82,5.56,0.043,0.038,0.064,0.08
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,0.67,2023,FY,,3811920000.0,1643631000.0,547629000,1804855000.0,9900037000,836038000,5302882000,3538229000,222944000.0,4535979000,17709000.0,652527000,106373000,167895,1466258000,702031000,1272807000,671711000,652527000,1348439000,-851025000.0,864439000,-3671540000,497414000,328467000.0,,1512000.0,,2467980000.0,152510000,24.99,3.59,30.14,2.16,2.16,0.119,0.07,0.055,0.078,0.569,0.184,0.163,0.004,0.003,39.64,,101.08,15415710720,28.16,4.04,0.045,0.035,0.054,0.08
ALB,Albemarle Corporation,Basic Materials,Chemicals - Specialty,1.57,2023,FY,,9617203000.0,8416193999.0,1573476000,5216919000.0,18270652000,3560462000,8605553000,3436518000,656344000.0,4311027000,188772000.0,246738000,430277000,429944000,959886000,241123000,671067000,2192525000,246738000,1325321000,-2149281000.0,889900000,-3421127000,-823960000,36545000.0,-187188000.0,1174000.0,,6987015000.0,117317000,81.98,13.41,82.38,1.47,0.86,0.167,-0.013,0.086,0.016,0.125,0.025,1.744,0.044,-0.033,1.28,,93.67,10989083648,6.99,1.14,,,-0.009,0.08
ALGN,"Align Technology, Inc.",Healthcare,Medical - Devices,1.66,2023,FY,,3862260000.0,1143542000.0,445053000,2446618000.0,6083877000,2066610999,2453388000,96968000,29651000.0,96968000,-2134000.0,641204000,196151000,167895,2061391000,657327000,812371000,639070000,641204000,785776000,-177716000.0,972742000,875774000,608060000,154026000.0,,7000.0,,2447174000.0,76426000,50.54,5.82,47.5,1.18,1.04,0.123,0.121,0.073,0.164,0.704,0.17,0.306,-0.022,-0.015,-308.03,,239.74,18322368512,41.19,4.74,0.044,0.036,0.103,0.08
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,0.48,2023,FY,,57094000000.0,7137000000.0,-188000000,10766000000.0,103362000000,42037000000,7942000000,7942000000,350000000.0,7942000000,379000000.0,-348000000,-135000000,672000000,50305000000,-213000000,-213000000,56000000,-348000000,4228000000,-267000000.0,5866000000,-2076000000,3961000000,87000000.0,-1032000000.0,9000000.0,2001000000.0,49716000000.0,262500000,217.5,-0.72,363.5,0.26,0.98,-0.011,-0.005,-0.002,-0.003,0.875,-0.004,0.388,0.048,0.029,-0.56,,161.34,42351751168,-224.08,0.74,0.043,0.038,0.056,0.08
ALLE,Allegion plc,Industrials,Security & Protection Services,1.13,2023,FY,,3650800000.0,2069300000.0,540400000,1360900000.0,4311500000,1079700000,2993200000,1602400000,412600000.0,2015000000,93100000.0,617200000,76600000,109000000,865600000,708400000,833300000,710100000,617200000,600600000,-84200000.0,468100000,-1546900000,516400000,26400000.0,-158700000.0,900000.0,,1578900000.0,87900000,41.53,6.15,15.0,1.26,0.85,0.41,0.186,0.125,0.219,0.433,0.194,0.124,0.046,0.04,7.61,,118.39,10406480896,19.25,2.85,0.042,0.038,0.078,0.08
AMAT,"Applied Materials, Inc.",Technology,Semiconductors,1.55,2023,FY,,26517000000.0,14133000000.0,6856000000,19147000000.0,30729000000,7372000000,14380000000,5461000000,100000000.0,5561000000,238000000.0,7716000000,860000000,515000000,4730000000,7654000000,8469000000,7954000000,7716000000,8700000000,-1106000000.0,6869000000,1308000000,7594000000,490000000.0,-975000000.0,8000000.0,,43726000000.0,840000000,31.57,8.16,19.46,2.6,1.82,0.419,0.31,0.223,0.328,0.467,0.289,0.111,0.043,0.038,32.16,,194.32,163228794880,23.81,6.16,0.046,0.034,0.096,0.08
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,0.86,2023,FY,,14694000000.0,11969000000.0,1048000000,4777000000.0,17003000000,6260000000,12913000000,6653000000,93000000.0,6746000000,259000000.0,1251000000,193000000,167895,1321000000,1508000000,1992000000,1500000000,1251000000,1261000000,-526000000.0,689000000,-6057000000,735000000,54000000.0,-723000000.0,14000000.0,,865000000.0,1468000000,10.01,0.71,2.79,0.76,0.41,0.256,0.118,0.062,0.14,0.185,0.103,0.154,0.038,0.032,5.82,,8.9,13065199616,12.54,0.89,0.046,0.03,0.061,0.08
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,1.68,2023,FY,,22680000000.0,12220000000.0,854000000,16768000000.0,67885000000,6689000000,11993000000,2252000000,751000000.0,3003000000,106000000.0,492000000,-346000000,3551000000,10059000000,401000000,4149000000,614000000,492000000,1667000000,-546000000.0,5773000000,2770000000,1121000000,1384000000.0,,17000000.0,,723000000.0,1614000000,14.05,0.53,34.63,2.51,1.86,0.015,0.002,0.013,0.007,0.461,0.018,-0.703,0.035,0.06,3.78,,159.99,258223865856,301.87,11.39,0.043,0.037,0.104,0.08
AME,"AMETEK, Inc.",Industrials,Industrial - Machinery,1.18,2023,FY,,6596950000.0,4212484999.0,1313188000,2824668000.0,15023533000,2882573000,6293342000,1895432000,1417915000.0,3313347000,81795000.0,1606412000,293224000,167895,677006000,1707459000,2025843000,1688207000,1606412000,1735296000,-136249000.0,409804000,-2903543000,1599047000,46199000.0,-230329000.0,2709000.0,,9940343000.0,230519000,28.62,5.7,37.87,0.98,0.59,0.15,0.116,0.087,0.141,0.361,0.259,0.183,0.025,0.02,20.87,,166.58,38399856640,29.22,5.82,0.043,0.037,0.081,0.08
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,0.58,2023,FY,,28190000000.0,8451000000.0,6717000000,30332000000.0,97154000000,18392000000,90922000000,63170000000,1443000000.0,64613000000,2875000000.0,7855000000,1138000000,4071000000,11842000000,7897000000,14801000000,10730000000,7855000000,8471000000,-1112000000.0,10944000000,-53669000000,7359000000,431000000.0,-4556000000.0,33070000000.0,,-26549000000.0,535000000,52.69,12.56,11.65,1.65,1.13,1.078,0.095,0.069,0.1,0.7,0.28,0.145,0.045,0.038,2.75,,305.99,163704651776,24.36,5.81,0.042,0.038,0.057,0.08
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,1.37,2023,FY,,15535000000.0,-561000000.0,2556000000,28971000000.0,175191000000,201000000,170462000000,5554000000,201000000.0,5755000000,324000000.0,3234000000,678000000,167895,8949000000,7147000000,-154000000,3558000000,3234000000,4685000000,-184000000.0,7564000000,1809000000,4501000000,187000000.0,-550000000.0,3000000.0,21905000000.0,21905000000.0,105700000,146.97,24.18,44.74,144.13,145.05,0.54,0.539,0.015,0.041,1.036,0.46,0.21,0.056,0.045,22.06,,433.88,45861117952,17.94,2.95,0.043,0.037,0.088,0.08
AMT,American Tower Corporation,Real Estate,REIT - Specialty,0.81,2023,FY,,11144200000.0,6347100000.0,1483300000,3710000000.0,66027600000,7249300000,55162200000,43172700000,3982100000.0,47154800000,1398200000.0,1521300000,154200000,3086500000,1370200000,3426900000,6513400000,3035700000,1521300000,4722400000,-1798100000.0,2093400000,-45061400000,2924300000,195700000.0,-2949300000.0,4800000.0,,-3638800000.0,466063000,23.91,3.18,23.31,0.51,0.51,0.353,0.06,0.022,0.058,0.43,0.308,0.101,0.03,0.027,2.45,,194.02,90425540608,61.01,8.11,0.045,0.035,0.057,0.08
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Specialty Retail,1.16,2023,FY,,574785000000.0,304739000000.0,30425000000,172351000000.0,527854000000,164917000000,325979000000,135611000000,18945000000.0,135611000000,3182000000.0,37545000000,7120000000,48663000000,232427000000,36852000000,85515000000,40727000000,37545000000,84946000000,-52729000000.0,87283000000,-48328000000,32217000000,24023000000.0,,109000000.0,,113618000000.0,10304000000,55.78,2.95,19.59,1.05,0.84,0.151,0.084,0.058,0.102,0.47,0.064,0.19,0.024,0.019,11.58,,185.0,1906239995904,62.71,3.32,0.043,0.037,0.081,0.08
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,1.11,2023,FY,,5860168000.0,2229887000.0,2087321000,8390235000.0,9946806000,1909606000,2727747000,44413000,95751000.0,65519000,,2422026000,334705000,70630000,1373032000,2257249000,2309180000,2422026000,2422026000,2034014000,-34434000.0,5007968000,4942449000,1999580000,296756000.0,,31000.0,,5114025000.0,309354000,18.94,6.75,23.34,4.39,3.38,0.289,0.264,0.21,0.281,0.62,0.385,0.138,,,,,340.08,105205104640,50.38,17.95,0.043,0.037,0.084,0.08
ANSS,"ANSYS, Inc.",Technology,Software - Application,1.11,2023,FY,,2269949000.0,271298000.0,500412000,2049567000.0,7322875000,889294000,1932511000,854396000,22454000.0,854396000,47145000.0,592138000,91726000,167895,1372516000,626135000,778001000,639283000,592138000,717122000,-25318000.0,860390000,5994000,691804000,221891000.0,,953000.0,,5283342000.0,86833000,26.14,5.76,62.08,2.3,2.3,0.093,0.084,0.068,0.097,0.88,0.276,0.155,0.055,0.047,13.28,,324.38,28166889472,56.32,12.41,0.043,0.038,0.083,0.08
AON,Aon plc,Financial Services,Insurance - Brokers,0.91,2023,FY,,13401000000.0,1084000000.0,2564000000,21704000000.0,33959000000,21651000000,34701000000,9995000000,1386000000.0,12032000000,484000000.0,3169000000,541000000,256000000,8175000000,4142000000,4398000000,3589000000,3169000000,3435000000,-252000000.0,1147000000,-10885000000,3183000000,438000000.0,-489000000.0,2000000.0,,-3399000000.0,203500000,65.85,12.6,-3.65,1.0,1.0,-3.104,0.325,0.076,0.336,0.919,0.309,0.171,0.04,0.033,8.56,,296.59,60356063232,23.54,4.5,0.043,0.037,0.069,0.08
AOS,A. O. Smith Corporation,Industrials,Industrial - Machinery,1.14,2023,FY,,3852800000.0,2368000000.0,556600000,1500300000.0,3213900000,945300000,1369500000,145200000,10000000.0,155200000,12000000.0,733500000,176900000,78300000,727400000,757400000,842600000,745500000,733500000,670300000,-72600000.0,363400000,208200000,597700000,11500000.0,-183500000.0,294800000.0,,3258100000.0,149952679,25.69,3.71,12.3,1.59,1.06,0.302,0.287,0.173,0.334,0.385,0.197,0.241,0.077,0.059,63.12,,83.68,12548039680,22.56,3.26,0.043,0.037,0.085,0.08
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,3.27,2023,FY,,8279000000.0,4052000000.0,2855000000,2462000000.0,15244000000,2404000000,11553000000,5186000000,118000000.0,5304000000,327000000.0,2883000000,-324000000,1770000000,851000000,6843000000,4922000000,2858000000,2883000000,3129000000,-2357000000.0,87000000,-5217000000,772000000,84000000.0,-308000000.0,263000000.0,,-2959000000.0,308000000,26.88,9.27,11.98,1.02,0.84,1.075,0.956,0.187,0.533,0.511,0.826,-0.112,0.062,0.069,20.93,,28.64,8821120000,3.09,1.07,0.043,0.037,0.128,0.08
APD,"Air Products and Chemicals, Inc.",Basic Materials,Chemicals - Specialty,0.82,2023,FY,,12600000000.0,8833000000.0,2300200000,5200500000.0,32002500000,3895800000,16342200000,10062400000,874500000.0,10936900000,177500000.0,2882400000,551200000,1358300000,1027800000,2494600000,4662800000,3028900000,2882400000,3206300000,-4626400000.0,1949200000,-8987700000,-1420100000,59900000.0,-1496600000.0,249400000.0,,17289700000.0,222300000,56.68,10.31,70.45,1.33,1.17,0.161,0.08,0.072,0.089,0.299,0.198,0.191,0.016,0.013,14.05,,266.59,59262955520,25.86,4.7,0.042,0.04,0.064,0.08
APH,Amphenol Corporation,Technology,"Hardware,  Equipment & Parts",1.26,2023,FY,,12554700000.0,8470600000.0,1928000000,6835300000.0,16526400000,3152700000,8099900000,3983500000,353800000.0,4337300000,139500000.0,2454800000,509300000,406400000,1489900000,2559600000,3029900000,2576800000,2454800000,2528700000,-372800000.0,1660200000,-2677100000,2155900000,99000000.0,-500600000.0,600000.0,,5921100000.0,1193000000,10.52,1.62,7.06,2.17,1.48,0.231,0.16,0.117,0.191,0.325,0.204,0.207,0.032,0.026,18.35,,67.22,80193462272,41.49,6.39,0.044,0.036,0.086,0.08
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management - Global,1.59,2023,FY,,33213000000.0,916000000.0,5047000000,176609000000.0,313488000000,216445000000,288243000000,7580000000,512000000.0,8092000000,145000000.0,5586000000,-923000000,24896000000,23980000000,8317000000,9120000000,4269000000,5586000000,6602000000,-24402000000.0,19926000000,11834000000,-17800000000,1026000000.0,-1034000000.0,1388000000.0,1398000000.0,2972000000.0,581380268,57.13,8.32,43.42,0.82,0.82,0.359,0.438,0.016,0.086,0.972,0.25,-0.165,0.018,0.021,57.36,,118.74,69033091072,14.27,2.08,0.045,0.035,0.092,0.08
APTV,Aptiv PLC,Consumer Cyclical,Auto - Parts,1.79,2023,FY,,20051000000.0,16612000000.0,2938000000,8247000000.0,24427000000,4808000000,12583000000,6657000000,130000000.0,6787000000,285000000.0,1337000000,-1928000000,167895,1669000000,1559000000,2774000000,1295000000,1337000000,1896000000,-906000000.0,1640000000,-5147000000,990000000,115000000.0,-32000000.0,3000000.0,,8162000000.0,276920000,72.41,10.5,42.77,1.72,1.22,0.254,0.208,0.12,0.08,0.172,0.078,-1.442,0.042,0.102,5.47,,79.66,22059446272,7.59,1.1,0.045,0.035,0.107,0.08
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,1.16,2023,FY,,2885699000.0,1598311000.0,103639000,781752000.0,36771402000,2001077000,14148409000,11598573000,99952000.0,11698525000,74204000.0,92444000,-11195000,167895,199354000,1088034000,2181507000,166648000,92444000,1630550000,-2488303000.0,618190000,-11080335000,-857753000,82858000.0,-847483000.0,1719000.0,,18471175000.0,170909000,16.88,0.54,132.37,0.39,,0.006,0.04,0.003,0.031,0.446,0.377,-0.121,0.006,0.007,14.66,,117.67,20110862336,217.91,6.97,0.045,0.035,0.057,0.08
ATO,Atmos Energy Corporation,Utilities,Regulated Gas,0.66,2023,FY,,4275357000.0,2217079000.0,885862000,885768000.0,22516968000,1352592000,11646904000,6639211000,253423000.0,6892634000,137281000.0,999641000,113779000,167895,991131000,1067147000,1741249000,1136922000,999641000,3459743000,-2805973000.0,15404000,-6877230000,653770000,10178000.0,-430345000.0,742000.0,,3666674000.0,145121000,29.46,6.1,74.9,0.65,0.47,0.082,0.053,0.039,0.05,0.481,0.25,0.114,0.02,0.018,7.77,,122.34,17754103808,20.06,4.15,0.042,0.04,0.053,0.08
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,0.97,2023,FY,,2824455000.0,1805097000.0,928825000,530960000.0,20678214000,694554000,8893423000,7672229000,324926000.0,8135054000,204632000.0,938591000,10153000,167895,134440000,884918000,1701883000,1143610000,938591000,1565497000,-197274000.0,530960000,-7604094000,1368223000,27142000.0,-922657000.0,1420000.0,478156000.0,478156000.0,141307186,19.99,6.56,83.4,0.76,0.76,0.079,0.044,0.045,0.044,0.361,0.313,0.011,0.025,0.025,4.32,,206.3,29151672320,31.45,10.32,0.043,0.037,0.067,0.08
